outcome,term,estimate,se,p,n,ri_p,subset
corruption_index,treat_2020,-0.026334267480747738,0.042546352182208334,0.5367510404078029,1880,0.537,full
corruption_index,legacy_dose,-0.006839197133931815,0.030085495559634953,0.8204360827897353,1880,0.537,full
z_o1_dup_share,treat_2020,0.01924605851966687,0.027992604563162913,0.49244386286061015,4166,0.514,full
z_o1_dup_share,legacy_dose,-0.007583647529721439,0.019001088265769676,0.6901825951337284,4166,0.514,full
z_o2_photo_share,treat_2020,-0.021829817739731534,0.03399572327292668,0.5214339748702241,4166,NA,full
z_o2_photo_share,legacy_dose,-0.006727691740083848,0.018715932314152826,0.7195826544617441,4166,NA,full
z_o3_excess_ghost,treat_2020,0.004970017198959704,0.026534945328497952,0.8516289308283196,2895,NA,full
z_o3_excess_ghost,legacy_dose,0.006584898157349915,0.021558091586463306,0.760365746542617,2895,NA,full
z_o4_dead_soul,treat_2020,0.0028371765610009773,0.03558436033421671,0.9365369228875938,2895,NA,full
z_o4_dead_soul,legacy_dose,-0.027772070523368154,0.019262622798896425,0.15105179040784003,2895,NA,full
z_o5_targeting,treat_2020,-0.021644944003337885,0.039855668679326745,0.5876053833486646,4148,NA,full
z_o5_targeting,legacy_dose,-0.009790635962858231,0.02278971665648617,0.667888591606896,4148,NA,full
z_o6a_irregular,treat_2020,0.036728261466089186,0.03342425231392294,0.27299729766792463,4166,0.196,full
z_o6a_irregular,legacy_dose,0.014560269610110874,0.023250369863861028,0.5317879233413652,4166,0.196,full
z_o6b_ghost_offtake_pc,treat_2020,0.010532408201905508,0.024384185718657386,0.6662033895889323,2693,NA,full
z_o6b_ghost_offtake_pc,legacy_dose,0.00788065501209273,0.014182690473047805,0.5790026055477766,2693,NA,full
z_o6d_subsidised_no_tx,treat_2020,0.001537121923503906,0.029924426307053605,0.9590784139761065,4166,NA,full
z_o6d_subsidised_no_tx,legacy_dose,0.038245770818634235,0.016809918375267106,0.023827942956312076,4166,NA,full
corruption_index,treat_2020,-0.09554517871709628,0.07559037716665956,0.21147119698409533,605,NA,rotation_consistent
z_o1_dup_share,treat_2020,0.03659119634336391,0.06516091457926615,0.5763829830265208,1125,NA,rotation_consistent
