outcome,spec,estimate,se,p,r2,n
corruption_index,bare,0.1484133111519032,0.09438401070500473,0.11790052421735125,0.5080989210020777,906
corruption_index,covars,0.1382951693930513,0.09179204711612689,0.13395818383448257,0.5185512354272841,906
corruption_index,full,0.1432651234600957,0.09217551251721215,0.12217403994640742,0.5213573527508146,906
z_o1_dup_share,bare,-0.033202199196184265,0.06297386300249556,0.598552604484107,0.7504568362726945,2054
z_o1_dup_share,covars,-0.03767828502861119,0.06522727229578289,0.5640857985534911,0.7518805325703525,2043
z_o1_dup_share,full,-0.03949573479869126,0.06593204802447084,0.5497562822003059,0.75221275595364,2043
z_o2_photo_share,bare,0.10896589091128346,0.06872178580005855,0.11424499565303174,0.31458382506291727,2054
z_o2_photo_share,covars,0.11202812257294104,0.07170617894078987,0.119630198220246,0.31779262344780423,2043
z_o2_photo_share,full,0.11799943385224214,0.07143698925079453,0.09998324067100871,0.32092493723973026,2043
z_o3_excess_ghost,bare,0.10594583185121205,0.07544922923565572,0.1620416293920816,0.6209528794783021,1419
z_o3_excess_ghost,covars,0.11691735675102106,0.0763586120512078,0.1275560608599419,0.6238439315989153,1414
z_o3_excess_ghost,full,0.11314385362087565,0.07443347236975097,0.13031970262895787,0.6260520914337924,1414
z_o4_dead_soul,bare,0.054228896856049445,0.06689191527684707,0.41864867289253105,0.4929797081498106,1419
z_o4_dead_soul,covars,0.07082634487017303,0.06587605481851432,0.28380676059900445,0.5225693445192758,1414
z_o4_dead_soul,full,0.07700148307071124,0.065988314705466955,0.24485841490236662,0.5238600083552325,1414
z_o5_targeting,bare,0.0024344837723541193,0.07040669409677544,0.9724476151670305,0.27156238110036224,2045
z_o5_targeting,covars,-0.014792989258561573,0.06946507833092336,0.8315560091403715,0.2820748638890639,2043
z_o5_targeting,full,-0.004623797800926278,0.07062975339529036,0.9478621857441003,0.2873173601086534,2043
z_o6a_irregular,bare,-0.02228385887568429,0.06471177678365428,0.7309034324764134,0.3569715757378149,2054
z_o6a_irregular,covars,-0.03389369826347714,0.0636040968754455,0.5946434984447293,0.3724159410051914,2043
z_o6a_irregular,full,-0.038726126321539926,0.06417583230605342,0.5468307300482556,0.3729934393558677,2043
z_o6b_ghost_offtake_pc,bare,0.05617435442272826,0.08154785533718496,0.491673524175795,0.9279283177525169,1318
z_o6b_ghost_offtake_pc,covars,0.04790902016186409,0.0831479045899349,0.5651006156699989,0.9284582127873776,1309
z_o6b_ghost_offtake_pc,full,0.05097671228271042,0.08244424654384587,0.537032999367254,0.9285523431227142,1309
z_o6d_subsidised_no_tx,bare,-0.05098780433368466,0.06265654868135863,0.41664674928232914,0.540441476680632,2054
z_o6d_subsidised_no_tx,covars,-0.06397676722294796,0.061521394540485975,0.2995074800319658,0.548644291363384,2043
z_o6d_subsidised_no_tx,full,-0.06822067332509962,0.06191570683442455,0.27172273333066854,0.5497008354557265,2043
