outcome,family,estimate,se,p,q_bh
z_o1_dup_share,leakage,0.01916273297859477,0.02799091925587384,0.494291372206399,0.963010668543872
z_o2_photo_share,leakage,-0.02182806007241926,0.03399682638749642,0.5214809836162557,0.963010668543872
z_o3_excess_ghost,leakage,0.00507587025834835,0.02653455326260674,0.8485048181363483,0.963010668543872
z_o4_dead_soul,leakage,0.00288170551957002,0.03558416235765005,0.935542694091858,0.963010668543872
z_o5_targeting,leakage,-0.02135982016943827,0.03985925970447478,0.5925654708216905,0.963010668543872
z_o6a_irregular,leakage,0.03657511170152169,0.033436175311985,0.2751676887863694,0.963010668543872
z_o6b_ghost_offtake_pc,leakage,0.01057677646108677,0.02436301312754958,0.6646100677200941,0.963010668543872
z_o6d_subsidised_no_tx,leakage,0.00138925934652724,0.02992346819580155,0.963010668543872,0.963010668543872
z_a1_qty_pm_pc,access,-0.03759422298361663,0.02908872937896673,0.1975332904531362,0.689774962191358
z_a1b_qty_pm_pc_2019,access,-0.03422421438435921,0.03365486234443222,0.3102753553107334,0.689774962191358
z_a2_qty_per_card_pm,access,-0.00309112644053701,0.03849202060535504,0.9360649246065796,0.9360649246065796
z_a4_cards_per_100hh,access,-0.03869682702583789,0.04756094196452588,0.4169165076171718,0.689774962191358
z_a5_hh_linked_share,access,-0.01478863947630201,0.02480742681984291,0.5518199697530864,0.689774962191358
